"word1","word2","freq"
"kentucky","derby",2
"key","lime",2
"khan","university",2
"kids","class",2
"kilowatt","hour",2
"kind","love",2
"kind","words",2
"kiski","school",2
"knit","1",2
"knit","2",2
"kno","got",2
"knock","shit",2
"know","always",2
"know","better",2
"know","difference",2
"know","dont",2
"know","fact",2
"know","going",2
"know","kids",2
"know","nothing",2
"know","someone",2
"know","want",2
"know","we’ve",2
"know","whether",2
"know","will",2
"labor","day",2
"laden","resource",2
"landfills","even",2
"larry","brown",2
"las","vegas",2
"last","century",2
"last","fall",2
"last","season",2
"late","1980s",2
"late","work",2
"later","day",2
"later","year",2
"law","firm",2
"lead","stand",2
"lead","vocals",2
"leadership","development",2
"least","100",2
"least","amount",2
"least","five",2
"least","six",2
"leather","bar",2
"left","right",2
"legal","assistance",2
"let","alone",2
"let","go",2
"let’s","just",2
"lets","hope",2
"lets","take",2
"letter","names",2
"letters","numbers",2
"lien","sales",2
"life","fullest",2
"life","good",2
"like","best",2
"like","call",2
"like","em",2
"like","good",2
"like","hell",2
"like","job",2
"like","lot",2
"like","nothing",2
"like","plan",2
"like","school",2
"like","seeing",2
"like","shit",2
"like","snow",2
"like","u",2
"like","use",2
"lime","pie",2
"little","crazy",2
"little","late",2
"little","less",2
"little","one",2
"live","community",2
"live","life",2
"lmao","good",2
"local","officials",2
"lol","hope",2
"lol","know",2
"lol","rt",2
"long","enough",2
"long","series",2
"long","table",2
"long","way",2
"looked","little",2
"lookin","good",2
"looking","something",2
"looking","ways",2
"lose","support",2
"lot","better",2
"lot","fun",2
"louis","market",2
"love","3",2
"love","city",2
"love","go",2
"love","movie",2
"love","you3",2
"luv","luv",2
"luv","u",2
"mad","men",2
"made","first",2
"made","homemade",2
"made","music",2
"made","rounds",2
"made","sense",2
"made","sounds",2
"made","state",2
"magazine’s","mission",2
"magically","appear",2
"main","st",2
"maintenance","drugs",2
"maintenance","medications",2
"make","difference",2
"make","easier",2
"make","examples",2
"make","list",2
"make","money",2
"make","sense",2
"make","way",2
"makes","think",2
"makes","us",2
"making","difference",2
"making","frozen",2
"management","services",2
"many","things",2
"many","us",2
"margin","error",2
"marketing","advertising",2
"martin","chris",2
"masters","degree",2
"matter","see",2
"max","1000",2
"maximize","profits",2
"may","arts",2
"may","even",2
"may","get",2
"may","good",2
"may","make",2
"may","need",2
"may","seem",2
"may","well",2
"maybe","shouldnt",2
"maybe","two",2
"mbs","treasurista",2
"mcmanis","family",2
"mean","dont",2
"mean","things",2
"means","everything",2
"means","nothing",2
"meant","say",2
"measured","terms",2
"medical","care",2
"meeting","thanks",2
"melting","pot",2
"men","aged",2
"merry","christmas",2
"met","mr",2
"mexico","city",2
"mfa","program",2
"mgm2","max",2
"mi","run",2
"michigan","high",2
"michigan","st",2
"mickey","mouse",2
"mid","late",2
"middle","east",2
"million","dollar",2
"minibrief","hit",2
"miniloc","island",2
"minority","students",2
"minutes","later",2
"minutes","life",2
"minutes","site",2
"miss","guys",2
"missionary","couple",2
"mississippi","st",2
"monday","labor",2
"monday","morning",2
"month","may",2
"morally","wrong",2
"morehead","state",2
"morning","got",2
"move","new",2
"moving","forward",2
"moving","new",2
"mr","eckersley",2
"mr","plummer",2
"mr","roseman",2
"much","appreciated",2
"much","kind",2
"much","snow",2
"much","time",2
"much","worse",2
"music","just",2
"music","one",2
"music","video",2
"must","see",2
"mutual","fund",2
"name","engine",2
"name","want",2
"nasa","officials",2
"national","community",2
"national","weather",2
"natural","relations",2
"ncaa","tournament",2
"near","top",2
"nearly","two",2
"need","go",2
"need","just",2
"need","know",2
"need","make",2
"needed","road",2
"never","finished",2
"never","forget",2
"never","get",2
"never","heard",2
"never","know",2
"never","look",2
"never","met",2
"never","mind",2
"never","really",2
"never","say",2
"never","tried",2
"never","want",2
"new","favorite",2
"new","generation",2
"new","law",2
"new","ways",2
"news","came",2
"news","stays",2
"next","day",2
"next","decade",2
"next","season",2
"nice","know",2
"niggas","kno",2
"night","long",2
"night","time",2
"nights","stay",2
"nike","gps",2
"north","america",2
"north","shore",2
"nothing","like",2
"nothing","say",2
"nothing","wrong",2
"now","best",2
"now","gotta",2
"now","hes",2
"now","looking",2
"now","love",2
"now","playing",2
"now","right",2
"now","see",2
"now","youre",2
"number","one",2
"number","three",2
"numbers","covered",2
"obama","administration",2
"offensive","players",2
"office","hours",2
"office","investigating",2
"official","said",2
"officials","accused",2
"officials","say",2
"often","fill",2
"oh","god",2
"oh","know",2
"oh","well",2
"ohio","will",2
"old","enough",2
"old","school",2
"omg","omg",2
"one","direction",2
"one","even",2
"one","ever",2
"one","favorites",2
"one","first",2
"one","last",2
"one","love",2
"one","make",2
"one","man",2
"one","moment",2
"one","must",2
"one","never",2
"one","new",2
"one","one",2
"one","person",2
"one","room",2
"one","say",2
"one","sitting",2
"one","talented",2
"one","three",2
"one","two",2
"one","us",2
"one","waiting",2
"one","whos",2
"one","year",2
"oomf","gorgeous",2
"open","kitchen",2
"open","season",2
"oral","roberts",2
"oranje","hotel",2
"osama","bin",2
"others","chosen",2
"others","forgive",2
"page","views",2
"paintings","monet",2
"pancake","house",2
"parissi","lead",2
"parking","lots",2
"part","game",2
"part","job",2
"part","problem",2
"pass","rush",2
"past","months",2
"past","year",2
"patrons","bought",2
"pay","attention",2
"people","buy",2
"people","come",2
"people","follow",2
"people","got",2
"people","including",2
"people","just",2
"people","say",2
"people","will",2
"people","without",2
"people","work",2
"per","child",2
"per","kilowatt",2
"per","person",2
"per","week",2
"percent","homes",2
"percent","three-point",2
"perfect","love",2
"period","ended",2
"period","last",2
"person","ever",2
"person","usespurchases",2
"peter","drucker",2
"philadelphia","union",2
"phone","calls",2
"piece","paper",2
"pittsburgh","pennsylvania",2
"plan","save",2
"plans","build",2
"play","game",2
"players","can",2
"please","follow",2
"please","help",2
"please","rt",2
"points","15",2
"points","game",2
